key,manual_tier,name,pos,team,total,ppg,Bye,Age,PaYds,PaTD,INT,RuAtt,RuYds,RuTD,Tgt,Rec,ReYds,ReTD,Tgt%,RZTgt,FGM,FGA,XPM,DefPA,DefSk,DefINT,DefTD,TmYds,TmYdsRk,TmPlays,TmPlaysRk,TmRush,TmRushRk,TmPass,TmPassRk,price
p00-0035659,6,Terry McLaurin,WR,WAS,95.2,9.52,7,30,,,,,,,60,38,582,3,23.2,8,,,,,,,,5619,23,990,27,2290,4,3329,24,
p00-0038117,6,Wan'Dale Robinson,WR,TEN,171.9,10.74,9,25,,,,,,,140,92,1014,4,30.3,14,,,,,,,,4830,30,1004,26,1589,30,3241,29,
p00-0038994,6,Jordan Addison,WR,MIN,114.1,8.15,6,24,,,,,,,79,42,610,3,18.2,13,,,,,,,,5049,28,954,30,1841,23,3208,30,
pWIL143106,6,Antonio Williams,WR,WAS,0.0,0.0,7,,,,,,,,,,,,,,,,,,,,,5619,23,990,27,2290,4,3329,24,
pFIE775129,6,Malachi Fields,WR,NYG,0.0,0.0,8,,,,,,,,,,,,,,,,,,,,,5898,15,1085,8,2195,5,3703,21,
pDOU210628,6,Caleb Douglas,WR,MIA,0.0,0.0,6,,,,,,,,,,,,,,,,,,,,,5366,26,949,31,2044,13,3322,25,
pBRA531428,6,Zachariah Branch,WR,ATL,0.0,0.0,11,,,,,,,,,,,,,,,,,,,,,5841,17,1048,17,2138,8,3703,20,
pLAN311008,6,Ja'Kobi Lane,WR,BAL,0.0,0.0,13,,,,,,,,,,,,,,,,,,,,,5940,13,974,29,2662,2,3278,28,
pBRA836631,6,Chris Brazzell II,WR,CAR,0.0,0.0,5,,,,,,,,,,,,,,,,,,,,,5281,27,1011,22,1977,19,3304,27,
pHUR541377,6,Ted Hurst,WR,TB,0.0,0.0,10,,,,,,,,,,,,,,,,,,,,,5702,21,1068,13,1947,21,3755,19,
pTHO417520,6,Zavion Thomas,WR,CHI,0.0,0.0,10,,,,,,,,,,,,,,,,,,,,,6442,6,1103,2,2451,3,3991,12,
pBEL267684,6,Chris Bell,WR,MIA,0.0,0.0,6,,,,,,,,,,,,,,,,,,,,,5366,26,949,31,2044,13,3322,25,
p00-0036613,6,Jaylen Waddle,WR,DEN,162.1,10.13,10,27,,,,,,,100,64,910,6,23.3,11,,,,,,,,5949,12,1092,5,2018,16,3931,17,
p00-0031408,6,Mike Evans,WR,SF,69.8,8.73,8,33,,,,,,,62,30,368,3,24.3,9,,,,,,,,6135,8,1082,10,1817,24,4318,6,
